step,iterations,residual,converged,fallback,compute_ms,oracle_io_ms,e2e_ms,validation_io_ms,reference_write_io_ms,source_mean,source_abs_mean,projected_source_mean,pressure_gauge_target,pressure_gauge_max_shift,p_mean,p_ref_mean,p_mean_abs_diff,p_raw_rel_l2,p_demeaned_rel_l2,pressure_gradient_rel_l2,pressure_correction_rel_l2,velocity_rel_l2,u_rel_l2,v_rel_l2,w_rel_l2,rho_rel_l2,fei_rel_l2,mass_rel,shape_mismatch_fraction,shape_dice_error,candidate_components,reference_components,largest_component_rel,centroid_distance_normalized,h_moment_rel_l2,h_p_consistency_max_abs,h_equilibrium_max_abs,max_field_rel,finite,state_bitwise_equal
11,0,0.00000000000000000e+00,1,0,9.32891300000000001e+00,9.89172999999999969e-01,1.03191749999999995e+01,1.00013030000000001e+01,0.00000000000000000e+00,-2.14080164394563863e-07,1.15123748415470469e-04,4.54190436987546532e-20,2.23872554964765292e-16,0.00000000000000000e+00,1.78685105998548559e-16,1.78685105998548559e-16,0.00000000000000000e+00,0.00000000000000000e+00,0.00000000000000000e+00,0.00000000000000000e+00,0.00000000000000000e+00,0.00000000000000000e+00,0.00000000000000000e+00,0.00000000000000000e+00,0.00000000000000000e+00,0.00000000000000000e+00,0.00000000000000000e+00,0.00000000000000000e+00,0.00000000000000000e+00,0.00000000000000000e+00,2,2,0.00000000000000000e+00,0.00000000000000000e+00,0.00000000000000000e+00,2.22044604925031308e-16,0.00000000000000000e+00,0.00000000000000000e+00,1,1
12,0,0.00000000000000000e+00,1,0,9.16205000000000069e+00,1.00724600000000009e+00,1.01702200000000005e+01,1.01019980000000000e+01,0.00000000000000000e+00,-1.38556917235696636e-07,1.08554183572077560e-04,1.35202671121792373e-21,2.00425038917344333e-16,0.00000000000000000e+00,1.95083571213163208e-16,1.95083571213163208e-16,0.00000000000000000e+00,0.00000000000000000e+00,0.00000000000000000e+00,0.00000000000000000e+00,0.00000000000000000e+00,0.00000000000000000e+00,0.00000000000000000e+00,0.00000000000000000e+00,0.00000000000000000e+00,0.00000000000000000e+00,0.00000000000000000e+00,0.00000000000000000e+00,0.00000000000000000e+00,0.00000000000000000e+00,2,2,0.00000000000000000e+00,0.00000000000000000e+00,0.00000000000000000e+00,2.22044604925031308e-16,0.00000000000000000e+00,0.00000000000000000e+00,1,1
13,0,0.00000000000000000e+00,1,0,9.68435200000000052e+00,1.04348100000000010e+00,1.07287569999999999e+01,1.20684959999999997e+01,0.00000000000000000e+00,-2.62623838755211457e-07,1.03252456863595505e-04,9.17824098052354139e-21,1.81505419839896662e-16,0.00000000000000000e+00,1.52946715818112805e-16,1.52946715818112805e-16,0.00000000000000000e+00,0.00000000000000000e+00,0.00000000000000000e+00,0.00000000000000000e+00,0.00000000000000000e+00,0.00000000000000000e+00,0.00000000000000000e+00,0.00000000000000000e+00,0.00000000000000000e+00,0.00000000000000000e+00,0.00000000000000000e+00,0.00000000000000000e+00,0.00000000000000000e+00,0.00000000000000000e+00,2,2,0.00000000000000000e+00,0.00000000000000000e+00,0.00000000000000000e+00,1.11022302462515654e-16,0.00000000000000000e+00,0.00000000000000000e+00,1,1
14,0,0.00000000000000000e+00,1,0,9.15852100000000036e+00,1.27822600000000008e+00,1.04378030000000006e+01,1.07148640000000004e+01,0.00000000000000000e+00,-1.73149934648158542e-07,9.87762694033630933e-05,-2.65749464256873094e-20,1.53314297235811627e-16,0.00000000000000000e+00,1.59922517418044657e-16,1.59922517418044657e-16,0.00000000000000000e+00,0.00000000000000000e+00,0.00000000000000000e+00,0.00000000000000000e+00,0.00000000000000000e+00,0.00000000000000000e+00,0.00000000000000000e+00,0.00000000000000000e+00,0.00000000000000000e+00,0.00000000000000000e+00,0.00000000000000000e+00,0.00000000000000000e+00,0.00000000000000000e+00,0.00000000000000000e+00,2,2,0.00000000000000000e+00,0.00000000000000000e+00,0.00000000000000000e+00,1.11022302462515654e-16,0.00000000000000000e+00,0.00000000000000000e+00,1,1
15,0,0.00000000000000000e+00,1,0,9.38286699999999918e+00,1.00082200000000010e+00,1.03847780000000007e+01,9.74224599999999974e+00,0.00000000000000000e+00,-2.71719370409803002e-07,9.42037659503803843e-05,-2.68292202141701591e-20,1.77559185247595822e-16,0.00000000000000000e+00,1.68374082757936677e-16,1.68374082757936677e-16,0.00000000000000000e+00,0.00000000000000000e+00,0.00000000000000000e+00,0.00000000000000000e+00,0.00000000000000000e+00,0.00000000000000000e+00,0.00000000000000000e+00,0.00000000000000000e+00,0.00000000000000000e+00,0.00000000000000000e+00,0.00000000000000000e+00,0.00000000000000000e+00,0.00000000000000000e+00,0.00000000000000000e+00,2,2,0.00000000000000000e+00,0.00000000000000000e+00,0.00000000000000000e+00,1.11022302462515654e-16,0.00000000000000000e+00,0.00000000000000000e+00,1,1
16,0,0.00000000000000000e+00,1,0,9.32731899999999925e+00,1.14744399999999991e+00,1.04757970000000000e+01,1.01184200000000004e+01,0.00000000000000000e+00,-1.80188968723213872e-07,9.04093295881420105e-05,3.02451697808243282e-21,1.65843107136328103e-16,0.00000000000000000e+00,1.59815026584168786e-16,1.59815026584168786e-16,0.00000000000000000e+00,0.00000000000000000e+00,0.00000000000000000e+00,0.00000000000000000e+00,0.00000000000000000e+00,0.00000000000000000e+00,0.00000000000000000e+00,0.00000000000000000e+00,0.00000000000000000e+00,0.00000000000000000e+00,0.00000000000000000e+00,0.00000000000000000e+00,0.00000000000000000e+00,0.00000000000000000e+00,2,2,0.00000000000000000e+00,0.00000000000000000e+00,0.00000000000000000e+00,1.11022302462515654e-16,0.00000000000000000e+00,0.00000000000000000e+00,1,1
17,0,0.00000000000000000e+00,1,0,9.38232999999999961e+00,1.32947499999999996e+00,1.07130039999999997e+01,9.99835299999999982e+00,0.00000000000000000e+00,-2.65450402922286121e-07,8.69427143179398902e-05,-1.44354084260736103e-20,1.58959247580571083e-16,0.00000000000000000e+00,1.59469899627560400e-16,1.59469899627560400e-16,0.00000000000000000e+00,0.00000000000000000e+00,0.00000000000000000e+00,0.00000000000000000e+00,0.00000000000000000e+00,0.00000000000000000e+00,0.00000000000000000e+00,0.00000000000000000e+00,0.00000000000000000e+00,0.00000000000000000e+00,0.00000000000000000e+00,0.00000000000000000e+00,0.00000000000000000e+00,0.00000000000000000e+00,2,2,0.00000000000000000e+00,0.00000000000000000e+00,0.00000000000000000e+00,5.55111512312578270e-17,0.00000000000000000e+00,0.00000000000000000e+00,1,1
18,0,0.00000000000000000e+00,1,0,9.25076699999999974e+00,1.13908300000000007e+00,1.03908839999999998e+01,9.60039199999999937e+00,0.00000000000000000e+00,-1.94787316926921168e-07,8.41386953550936004e-05,2.56767584848103991e-20,1.85800058494574896e-16,0.00000000000000000e+00,1.87492803841190032e-16,1.87492803841190032e-16,0.00000000000000000e+00,0.00000000000000000e+00,0.00000000000000000e+00,0.00000000000000000e+00,0.00000000000000000e+00,0.00000000000000000e+00,0.00000000000000000e+00,0.00000000000000000e+00,0.00000000000000000e+00,0.00000000000000000e+00,0.00000000000000000e+00,0.00000000000000000e+00,0.00000000000000000e+00,0.00000000000000000e+00,2,2,0.00000000000000000e+00,0.00000000000000000e+00,0.00000000000000000e+00,5.55111512312578270e-17,0.00000000000000000e+00,0.00000000000000000e+00,1,1
19,0,0.00000000000000000e+00,1,0,9.77831600000000023e+00,1.21070699999999998e+00,1.09901450000000001e+01,1.04204539999999994e+01,0.00000000000000000e+00,-2.62058166232141419e-07,8.13792118750598903e-05,3.89962045260531500e-22,1.68799819016692089e-16,0.00000000000000000e+00,1.70700914615997081e-16,1.70700914615997081e-16,0.00000000000000000e+00,0.00000000000000000e+00,0.00000000000000000e+00,0.00000000000000000e+00,0.00000000000000000e+00,0.00000000000000000e+00,0.00000000000000000e+00,0.00000000000000000e+00,0.00000000000000000e+00,0.00000000000000000e+00,0.00000000000000000e+00,0.00000000000000000e+00,0.00000000000000000e+00,0.00000000000000000e+00,2,2,0.00000000000000000e+00,0.00000000000000000e+00,0.00000000000000000e+00,5.55111512312578270e-17,0.00000000000000000e+00,0.00000000000000000e+00,1,1
20,0,0.00000000000000000e+00,1,0,9.24897600000000075e+00,1.25128599999999990e+00,1.05014389999999995e+01,1.01935939999999992e+01,0.00000000000000000e+00,-1.56627041703864878e-07,7.93416870277964949e-05,-3.96250149731883679e-22,1.64137790114945484e-16,0.00000000000000000e+00,1.52447436953092334e-16,1.52447436953092334e-16,0.00000000000000000e+00,0.00000000000000000e+00,0.00000000000000000e+00,0.00000000000000000e+00,0.00000000000000000e+00,0.00000000000000000e+00,0.00000000000000000e+00,0.00000000000000000e+00,0.00000000000000000e+00,0.00000000000000000e+00,0.00000000000000000e+00,0.00000000000000000e+00,0.00000000000000000e+00,0.00000000000000000e+00,2,2,0.00000000000000000e+00,0.00000000000000000e+00,0.00000000000000000e+00,5.55111512312578270e-17,0.00000000000000000e+00,0.00000000000000000e+00,1,1
