variant,steps,poisson,pressure_boundary,check_interval,poisson_tolerance,graph,compare_exit_code,strict_pass,physics_pass,gpu_metric_total_ms_per_step,poisson_ms_per_step,poisson_iters,gpu_metric_mlups,mass_rel_diff,fei_max_abs,fei_rel_l2,rho_max_abs,rho_rel_l2,u_max_abs,u_rel_l2,v_max_abs,v_rel_l2,w_max_abs,w_rel_l2,p_max_abs,p_rel_l2
strict_all_fused,5,fused,fused,100,0.001,0,0,1,1,129.6744,99.41604,960.0,0.1263472,1.344081e-16,1.110223e-16,1.78023e-16,2.842171e-14,1.46562e-16,3.191891e-16,2.491763e-15,3.074625e-16,2.717733e-15,2.376571e-16,2.578438e-15,1.554312e-15,1.486499e-15
graph_all_fused,5,fused,fused,100,0.001,1,0,1,1,128.5172,99.41081,960.0,0.1274849,1.344081e-16,1.110223e-16,1.78023e-16,2.842171e-14,1.46562e-16,3.191891e-16,2.491763e-15,3.074625e-16,2.717733e-15,2.376571e-16,2.578438e-15,1.554312e-15,1.486499e-15
check50_tol1e-3,5,fused,fused,50,0.001,0,0,0,1,125.8233,99.39793,930.0,0.1302143,1.318841e-08,6.977244e-07,1.562053e-06,0.0002315331,1.036456e-06,7.563212e-06,2.862627e-05,6.830721e-06,3.2603e-05,9.752816e-06,4.184603e-05,2.511232e-05,8.492318e-06
check50_tol5e-4,5,fused,fused,50,0.0005,0,0,0,1,122.0944,99.40649,940.0,0.1341913,7.350856e-09,3.500089e-07,7.818263e-07,0.0001143672,5.163973e-07,3.989782e-06,1.601664e-05,3.602768e-06,1.820304e-05,4.779501e-06,2.039655e-05,1.398041e-05,4.83432e-06
check50_tol1e-4,5,fused,fused,50,0.0001,0,0,0,1,130.7912,99.42128,970.0,0.1252684,2.313756e-09,8.751142e-08,2.090191e-07,2.748345e-05,1.303236e-07,1.123793e-06,5.187148e-06,1.01444e-06,5.876098e-06,1.122345e-06,5.340693e-06,4.389328e-06,1.591728e-06
check25_tol1e-4,5,fused,fused,25,0.0001,0,0,0,1,128.5753,99.43731,950.0,0.1274273,3.114639e-09,1.354175e-07,3.065041e-07,4.360685e-05,1.995763e-07,1.615544e-06,6.846373e-06,1.458631e-06,7.769297e-06,1.807749e-06,7.866561e-06,5.917666e-06,2.085924e-06
