radius,diameter,inverse_radius,steps,grid,interface_profile,interface_width,poisson,pressure_boundary,cuda_graph,run_exit_code,regime,component_count,phase_mass,liquid_voxels,largest_component_voxels,max_speed,max_gas_speed,mean_pressure_liquid,mean_pressure_gas,laplace_delta_p,gpu_metric_total_ms_per_step,poisson_ms_per_step,poisson_iters,gpu_metric_mlups,saved_plt,template
6.0,12.0,0.16666666666666666,20,48x96x96,tanh,2.5,fused,fused,0,0,coalesced,1,5127.372047269717,925,925.0,0.005036195154270855,0.005036195154270855,0.06575842985631647,-0.00013819802574239264,0.06589662788205886,2036.504,99.444,905.0,0.217,laplace_outputs/single_droplet_R6_step20.plt,params_small.in
8.0,16.0,0.125,20,48x96x96,tanh,2.5,fused,fused,0,0,coalesced,1,5244.810787416063,2181,2181.0,0.004484756212914054,0.004484756212914054,0.05238090402582051,-0.00025941655202447805,0.05264032057784499,1952.972,99.416,865.0,0.227,laplace_outputs/single_droplet_R8_step20.plt,params_small.in
10.0,20.0,0.1,20,48x96x96,tanh,2.5,fused,fused,0,0,coalesced,1,5431.275832215324,4337,4337.0,0.003842573826654038,0.003842573826654038,0.04243270372501614,-0.00041920712789418824,0.042851910852910326,1910.662,99.395,845.0,0.232,laplace_outputs/single_droplet_R10_step20.plt,params_small.in
12.0,24.0,0.08333333333333333,20,48x96x96,tanh,2.5,fused,fused,0,0,coalesced,1,5703.999313991517,7249,7249.0,0.0036266969294118626,0.0036266969294118626,0.036236201236064323,-0.000601583764006109,0.036837785000070435,1912.059,99.406,845.0,0.231,laplace_outputs/single_droplet_R12_step20.plt,params_small.in
14.0,28.0,0.07142857142857142,20,48x96x96,tanh,2.5,fused,fused,0,0,coalesced,1,6080.222742302343,11681,11681.0,0.0036725213067034107,0.0036725213067034107,0.03146228492696898,-0.0008502943995993361,0.032312579326568315,2067.391,99.452,915.0,0.214,laplace_outputs/single_droplet_R14_step20.plt,params_small.in
