step,checks,first_iteration,first_relative_error,final_iteration,final_relative_error,observed_last_relative_error,min_relative_error,late_ratio,log10_drop,final_block_low_frequency_fraction,mean_block_low_frequency_fraction,converged,maxed_out,tail_class
1,10,100,1.0,1000,0.07229901371565511,0.07229901371565511,0.07229901371565511,0.870759072294087,1.1408676271974498,0.999984597901679,0.9974728478391313,0,1,stalled_tail
2,10,100,0.21662904361256263,1000,0.026810960074319348,0.026810960074319348,0.026810960074319348,0.8434405053487558,0.9074043164452092,0.98672494650653,0.9779480649503889,0,1,slow_tail
3,10,100,0.14534899390141565,1000,0.06989215670485789,0.06989215670485789,0.06989215670485789,0.9710206622666812,0.3179835879818193,0.993585643466288,0.9736805643053661,0,1,stalled_tail
4,10,100,0.20585541705115826,1000,0.0805706303869645,0.0805706303869645,0.0805706303869645,0.9075353113731067,0.40738553828109075,0.9967297586388416,0.9838065226627417,0,1,stalled_tail
5,10,100,0.12509567900837978,1000,0.0336845824521238,0.0336845824521238,0.0336845824521238,0.914831699209251,0.5698111404846407,0.9927100982416084,0.9752530014013857,0,1,stalled_tail
