step,iteration,pressure_l1_delta,pressure_l1_norm,relative_error,fixed_point_h_l1,fixed_point_h_scale,fixed_point_h_relative,fixed_point_p_l1,fixed_point_p_scale,fixed_point_p_relative,fixed_point_relative,pressure_converged,fixed_point_converged,dual_residual_enabled,converged,block_low_frequency_fraction,block_size,block_count
1,100,1862.3177294957072,1862.3177294957072,1,17.468501579934642,1899.9487116863743,0.0091941963867170854,2.0370913955044751e-13,1862.3177294957063,1.0938473941587268e-16,0.0091941963867170854,0,0,1,0,,0,0
1,200,1644.0238886930322,3484.9512408510664,0.471749466512347,15.674148840975706,3521.7189367417895,0.0044507097592169165,4.8196658172494269e-13,3484.9512408510577,1.3829937592103639e-16,0.0044507097592169165,0,0,1,0,,0,0
1,300,1501.0724909692244,4973.4546954517091,0.30181686229935406,14.42739796350237,5006.2773431025535,0.0028818615060110194,8.7505008517745015e-13,4973.4546954517127,1.7594411505903421e-16,0.0028818615060110194,0,0,1,0,,0,0
1,400,1388.8937007000811,6359.1295183059756,0.21840940598896183,13.403954321573366,6388.7868372023468,0.0020980437543355202,6.1213304501007201e-13,6359.1295183059929,9.6260509122817493e-17,0.0020980437543355202,0,0,1,0,,0,0
1,500,1294.631798453597,7650.9685549663945,0.16921149121874587,12.525165739338366,7679.2271042207067,0.0016310450998973847,1.3264650057810668e-12,7650.9685549664136,1.7337216801394759e-16,0.0016310450998973847,0,0,1,0,,0,0
1,600,1211.7589735643273,8859.4902567515637,0.13677524760985887,11.738196075360712,8886.8688652122328,0.0013208472245280942,1.4877016688528638e-12,8859.4902567515564,1.6792181330287373e-16,0.0013208472245280942,0,0,1,0,,0,0
1,700,1136.4992956778099,9994.3324113018061,0.11371437820025197,11.015108470860079,10020.562385068402,0.0010992505258261398,1.7108669950347476e-12,9994.3324113017898,1.7118371939481074e-16,0.0010992505258261398,0,0,1,0,,0,0
1,800,1066.7664769116193,11060.425132800696,0.096448957802537483,10.340716320569287,11085.861034776168,0.00093278422741640242,1.6405109343170494e-12,11060.425132800709,1.4832259290395295e-16,0.00093278422741640242,0,1,1,0,,0,0
1,900,1001.4446421100453,12061.256554101616,0.083029876499019384,9.7069428017274202,12086.36484877984,0.00080313170446011893,1.92090755363986e-12,12061.256554101596,1.5926263942927481e-16,0.00080313170446011893,0,1,1,0,,0,0
1,1000,939.93806637706325,13000.703006436723,0.072299018438594778,9.1093885683388347,13025.556466201906,0.00069934736316067895,1.8624277905800087e-12,13000.703006436717,1.4325592928766319e-16,0.00069934736316067895,0,1,1,0,,0,0
1,1100,881.91052990105652,13882.205781350003,0.063528126854729083,8.545454240651349,13906.942973896877,0.00061447395424652548,2.2743344827133084e-12,13882.205781349983,1.6383091552847875e-16,0.00061447395424652548,0,1,1,0,,0,0
1,1200,827.15038375335689,14709.162827146019,0.056233681921505164,8.0133704859903592,14733.875742463712,0.00054387390161676568,2.3896176469329515e-12,14709.162827145999,1.6245776017401026e-16,0.00054387390161676568,0,1,1,0,,0,0
1,1300,775.50125580591907,15484.560057770484,0.050082227258161971,7.5117169479376926,15509.290676329349,0.00048433658925499764,2.7905866933038213e-12,15484.560057770479,1.8021737026383557e-16,0.00048433658925499764,0,1,1,0,,0,0
1,1400,726.828886046251,16211.314148160895,0.044834667899437797,7.0392008008739086,16236.122161685236,0.0004335518500523078,2.5675926383485426e-12,16211.314148160873,1.5838275755329982e-16,0.0004335518500523078,0,1,1,0,,0,0
1,1500,681.00614329813766,16892.30768050563,0.040314571352737368,6.5945613646988788,16917.203309452379,0.00038981392160808339,2.8074415128712414e-12,16892.30768050563,1.6619644668863902e-16,0.00038981392160808339,0,1,1,0,,0,0
1,1600,637.90707608473087,17530.200734188165,0.036389034316113483,6.1765370103904775,17555.218236284411,0.00035183481784489346,2.8976632405888021e-12,17530.200734188173,1.6529549687001878e-16,0.00035183481784489346,0,1,1,0,,0,0
1,1700,597.40522407962339,18127.593987097156,0.032955571738027892,5.783860225096543,18152.757335249469,0.00031862158008719155,2.4773113161456701e-12,18127.593987097152,1.3665968676863401e-16,0.00031862158008719155,0,1,1,0,,0,0
1,1800,559.373806606725,18686.967307407074,0.029933899781855046,5.4152642340828292,18712.281015608547,0.0002893962649217257,2.9786071273850932e-12,18686.967307407074,1.5939489155120656e-16,0.0002893962649217257,0,1,1,0,,0,0
1,1900,523.68661809484411,19210.653536131242,0.027260218769231279,5.0694932824989776,19236.117350332166,0.00026354035953162028,3.5540864532396547e-12,19210.653536131253,1.8500601484250163e-16,0.00026354035953162028,0,1,1,0,,0,0
1,2000,490.21907962725413,19700.872324554599,0.024883115404806679,4.7453129543139054,19726.489723739684,0.00024055536594547774,3.2848823394523064e-12,19700.872324554606,1.6673791319169775e-16,0.00024055536594547774,0,1,1,0,,0,0
1,2100,458.84920809216874,20159.721372770637,0.022760691956384273,4.4415190732509062,20185.493523286445,0.00022003519845214926,3.1900533477540859e-12,20159.721372770651,1.5823896019033426e-16,0.00022003519845214926,0,1,1,0,,0,0
1,2200,429.45841551535324,20589.179680404854,0.020858451972424995,4.1569447509763764,20615.102976966718,0.00020164559719255035,3.1854157644408375e-12,20589.179680404864,1.5471309755349124e-16,0.00020164559719255035,0,1,1,0,,0,0
1,2300,401.93212153722527,20991.111694126153,0.019147729162419545,3.8904656130633053,21017.180319931711,0.00018510882781805747,3.8063152314000894e-12,20991.111694126106,1.8132985460056418e-16,0.00018510882781805747,0,1,1,0,,0,0
1,2400,376.16019236982572,21367.27177918109,0.017604502636426062,3.6410034005227621,21393.480040034843,0.00017019219845060943,3.7530373841782212e-12,21367.27177918113,1.7564420123279074e-16,0.00017019219845060943,0,1,1,0,,0,0
1,2500,352.0372305966352,21719.308903297602,0.016208491355044267,3.4075282154083317,21745.651012609316,0.00015669929649070799,3.9794692165823469e-12,21719.30890329762,1.8322264462006653e-16,0.00015669929649070799,0,1,1,0,,0,0
1,2600,329.46274220785671,22048.771540089529,0.014942453442760781,3.189059665032195,22075.24160114058,0.00014446318290203551,3.7276859392121689e-12,22048.771540089485,1.690654707195102e-16,0.00014446318290203551,0,1,1,0,,0,0
1,2700,308.3412053397073,22357.112644921806,0.01379163804543177,2.9846671364961153,22383.705578999572,0.00013334106481888033,3.7024788279721144e-12,22357.112644921752,1.6560630555364242e-16,0.00013334106481888033,0,1,1,0,,0,0
1,2800,288.58206231327171,22645.694623862819,0.012743352195925994,2.7934693998642115,22672.405262892709,0.00012321010353657556,3.4271647911504854e-12,22645.694623862826,1.5133847064859391e-16,0.00012321010353657556,0,1,1,0,,0,0
1,2900,270.09965262760028,22915.794200945023,0.011786615391076503,2.6146336991082944,22942.616674415352,0.0001139640580764279,4.0003978045812907e-12,22915.79420094494,1.7456945936511914e-16,0.0001139640580764279,0,1,1,0,,0,0
1,3000,252.81310162494762,23168.607238223045,0.010911881712417408,2.4473744598427296,23195.535858997304,0.00010551058077381811,3.9190255925994517e-12,23168.607238223056,1.6915240317656772e-16,0.00010551058077381811,0,1,1,0,,0,0
1,3100,236.64617693852958,23405.253354184402,0.010110814583266277,2.2909517262270058,23432.283066076157,9.7769035981974255e-05,3.5906263637116483e-12,23405.253354184377,1.5341112994488131e-16,9.7769035981974255e-05,0,1,1,0,,0,0
1,3200,221.52712101625528,23626.780423539214,0.0093761027548023082,2.1446694078117341,23653.906233438298,9.0668720280117051e-05,3.8507745542335891e-12,23626.780423539207,1.6298346559301357e-16,9.0668720280117051e-05,0,1,1,0,,0,0
1,3300,207.38846951801153,23834.168842000912,0.0087013090698824201,2.0078734019479274,23861.385746659289,8.4147392916148611e-05,3.9515366297154667e-12,23834.16884200088,1.6579292762045126e-16,8.4147392916148611e-05,0,1,1,0,,0,0
1,3400,194.16685935558553,24028.33565093813,0.0080807452574437767,1.8799496460170737,24055.638957341584,7.8150060755020131e-05,4.597680919250953e-12,24028.335650938126,1.9134412745193393e-16,7.8150060755020131e-05,0,1,1,0,,0,0
1,3500,181.80283192494954,24210.138433107255,0.0075093677149873292,1.7603221381137117,24237.523637684775,7.2627969937355443e-05,3.9408464013769573e-12,24210.13843310731,1.6277669837640658e-16,7.2627969937355443e-05,0,1,1,0,,0,0
1,3600,170.2406350423291,24380.379019074451,0.0069826902571587636,1.6484509618135028,24407.841772900658,6.7537760083471681e-05,4.4806129428443323e-12,24380.379019074502,1.8377946213792783e-16,6.7537760083471681e-05,0,1,1,0,,0,0
1,3700,159.42802629425873,24539.806996987278,0.0064967106837405652,1.5438303349556799,24567.343129238925,6.2840752735621774e-05,7.1059219231982447e-13,24539.806996987267,2.8956714794336535e-17,6.2840752735621774e-05,0,1,1,0,,0,0
1,3800,149.31607987975346,24689.123029188326,0.0060478486701705395,1.4459867018730859,24716.728614061696,5.8502349742612926e-05,4.7155883256370934e-12,24689.123029188289,1.9099861587072859e-16,5.8502349742612926e-05,0,1,1,0,,0,0
1,3900,139.8589984858632,24828.981980704328,0.0056328929874995947,1.3544768800697009,24856.653259201186,5.4491522488785341e-05,3.8475063936501222e-12,24828.98198070428,1.5496029586070797e-16,5.4491522488785341e-05,0,1,1,0,,0,0
1,4000,131.01393140616469,24959.995865759098,0.0052489564545919534,1.268886274527395,24987.729312498639,5.0780375385798236e-05,4.6678645259664144e-12,24959.995865759069,1.870138340996259e-16,5.0780375385798236e-05,0,1,1,0,,0,0
1,4100,122.74079929047217,25082.736619234507,0.0048934373132295825,1.1888271650222564,25110.528878068693,4.7343772438842067e-05,4.2363436672206763e-12,25082.736619234489,1.6889479531400378e-16,4.7343772438842067e-05,0,1,1,0,,0,0
1,4200,115.00212653911917,25197.738700511349,0.00456398599517128,1.1139370672786919,25225.586615673532,4.415901537792442e-05,4.3719416243726342e-12,25197.738700511301,1.7350531634348287e-16,4.415901537792442e-05,0,1,1,0,,0,0
1,4300,107.76288160504544,25305.501537419357,0.0042584764204612185,1.0438771734910062,25333.402178955756,4.1205565921112092e-05,3.2398310820431781e-12,25305.501537419386,1.2802872439625121e-16,4.1205565921112092e-05,0,1,1,0,,0,0
1,4400,100.99032486328949,25406.491818159764,0.0039749811027079609,0.9783308711491252,25434.442455320252,3.8464805071615902e-05,4.4745830381126062e-12,25406.4918181598,1.7611967327635169e-16,3.8464805071615902e-05,0,1,1,0,,0,0
1,4500,94.65386444539422,25501.145639067148,0.0037117494949084466,0.9170023400816143,25529.14361917417,3.5919823781040642e-05,4.5189442016859804e-12,25501.145639067156,1.7720553678823998e-16,3.5919823781040642e-05,0,1,1,0,,0,0
1,4600,88.724919878989454,25589.870515989987,0.0034671890904469072,0.85961522700447235,25617.913329797717,3.3555239879924287e-05,4.7893212818282471e-12,25589.870515990027,1.871569173761783e-16,3.3555239879924287e-05,0,1,1,0,,0,0
1,4700,83.176793278086592,25673.047267274254,0.0032398488738854567,0.80591139480368246,25701.132530105962,3.1357038210656615e-05,4.4381244965107319e-12,25673.047267274273,1.7287096659413937e-16,3.1357038210656615e-05,0,1,1,0,,0,0
1,4800,77.984548005717713,25751.031779279769,0.003028404790695298,0.75564974460781309,25779.15721427188,2.9312430128222719e-05,3.1461850065841492e-12,25751.031779279809,1.2217704647918927e-16,2.9312430128222719e-05,0,1,1,0,,0,0
